Year,Month,Day,Time,ARRESTAGENCY,Charge_Desc,MINUCRCODE,MINCHARGECODE,MAIN_CRIMECODE,GDISTRICT,BRICArrestCode,GREPORTING,,,,,,,,,,,,
2017,1,30,09:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,A15,08xx,041,,,,,,,,,,,,
2017,1,31,05:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,A15,08xx,900,,,,,,,,,,,,
2017,1,31,19:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B2,08xx,305,,,,,,,,,,,,
2017,1,31,37:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B2,08xx,262,,,,,,,,,,,,
2017,2,1,10:00.0,Boston Police Department,"Assault & Battery, Dangerous Weapon (209A)",0403,12315,,E5,04xx,716,,,,,,,,,,,,
2017,2,1,04:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B2,08xx,305,,,,,,,,,,,,
2017,2,1,31:00.0,Boston Police Department,"Assault & Battery, Dangerous Weapon (209A)",0403,12315,,B3,04xx,451,,,,,,,,,,,,
2017,2,1,08:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,C11,08xx,377,,,,,,,,,,,,
2017,2,2,23:00.0,Boston Police Department,Violation of an Existing Restraining Order,3125,12312,,B2,Arrest,258,,,,,,,,,,,,
2017,2,3,20:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,D14,08xx,772,,,,,,,,,,,,
2017,2,3,29:00.0,Boston Police Department,Assault & Battery (209A) Felony Section,0404,12711,,C6,04xx,200,,,,,,,,,,,,
2017,2,3,14:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,B3,08xx,455,,,,,,,,,,,,
2017,2,3,05:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,A1,08xx,113,,,,,,,,,,,,
2017,2,3,50:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,E13,08xx,573,,,,,,,,,,,,
2017,2,4,12:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,C6,08xx,,,,,,,,,,,,,
2017,2,5,47:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,C11,08xx,362,,,,,,,,,,,,
2017,2,6,49:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,C11,08xx,240,,,,,,,,,,,,
2017,2,6,13:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,E13,08xx,645,,,,,,,,,,,,
2017,2,6,18:00.0,Boston Police Department,Violation of an Existing Restraining Order,0404,12312,,C11,04xx,,,,,,,,,,,,,
2017,2,6,25:00.0,Boston Police Department,Violation of an Existing Restraining Order,3125,12312,,A1,Arrest,092,,,,,,,,,,,,
2017,2,6,58:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,E13,08xx,510,,,,,,,,,,,,
2017,2,7,07:00.0,Boston Police Department,Assault & Battery (209A),0802,12314,,A7,08xx,,,,,,,,,,,,,
